session,billid,policy_area,billtype,introducedInSenate,referredToCommittee,becamePublicLaw,committeeDischarged,considerationByHouse,finalPassageUnderSuspensionOfTheRulesResults,generalDebate,heldAtTheDesk,measureLaidBeforeSenate,motionMadeToSuspendTheRules,motionToReconsiderResults,passedAgreedToInHouse,passedAgreedToInSenate,passedSenate,placeholderTextForE,placeholderTextForH,presentedToPresident,receivedInTheHouse,senateCommitteeDischarged,sentToHouse,clotureMotion,clotureMotionPresented,motionToConsider,placedOnCalendarSection,placeholderTextForB,hearingsHeld,committeeFiledReportToAccompany,orderedReported,placedOnCalendarGeneralOrders,reportedToSenate,senateCommitteeReportFiledAfterReporting,amendmentAgreedTo,consideredBySenate,freeText,messageOnHouseAction,motionToRecommit,resolvingDifferencesSenateActions,senateAgreedFreeText,billReferrals,committeeConsideration,passageOfAMeasure,unanimousConsentRequestToConsider,billReferralsAggregate,motionToReconsider,originalBillReported,motionToProceedConsidered,actionStageOverride,committeeReportOfABill,houseCommitteeDischarged,reportedToHouse,unionCalendarAssignment,prayer,seeAlsoOtherRelatedMeasure,passedOrAgreedToInSenateDayOf,returnedToTheCalendar,indefinitelyPostponed,motionToTableRejected,motionToWaiveMeasure,pointOfOrderMeasure,recommittedToCommittee,motionForPreviousQuestion,failedOfPassageNotAgreedToInSenate,failedPassage,incorporatedInMeasureInsert,passedCompanionMeasureInSenate,virtualAction,amendingTheTitleOfAnActWithoutObjection,starPrintOrdered,placeholderTextForHL,ruleForConsiderationOfBillReportedToHouse,measureOrderedPrinted,motionToWaiveAmendment,reportedToFullCommittee,failedOfPassageInSenateOverVeto,failedOfPassageOverVeto,motionToCommitRecommitWithInstructionsOffered,motionToCommitRecommitWithInstructionsResults,placeholderTextForHA,vetoedByPresident,vetoMessageConsidered,vetoMessageHeld,conferenceAgreed,conferenceCommitteeActions,conferenceHeld,conferencePapers,conferenceReportAgreedTo,conferenceReportAgreedToInHouse,conferenceReportAgreedToInSenate,conferenceReportBeingConsidered,conferenceReportConsidered,conferenceReportFiled,lastSenateActionBeingConsideredByOtherTypeOfConsideration,motionForThePreviousQuestionOffered,voteOnHouseAgreeingToTheSenateAction,fieldHearingsHeld,sequentialReferralOfBill,passedHouseOverVeto,passedOverVeto,passedSenateOverVeto,vetoBeingConsidered,houseCalendarAssignment,heldAtDesk,freeFormConsideration,motionToInstruct,toStrikeAllAfterEnactingClause,passageVitiated,lastSenateActionBeingConsideredByUnanimousConsent,designationOfSpeakerProTempore,resolvingDifferencesHouseActions,senateConcurredFreeText,motionToDischarge,motionToTableAgreedTo,failedOfPassageNotAgreedToInHouse
113,1,Immigration,S,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,10,Agriculture and Food,S,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,100,Finance and Financial Sector,S,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1000,Public Lands and Natural Resources,S,1,1,2,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1001,International Affairs,S,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1002,Housing and Community Development,S,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1003,Education,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1004,Commerce,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1005,International Affairs,S,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1006,Environmental Protection,S,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1007,Taxation,S,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1008,Transportation and Public Works,S,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1009,Environmental Protection,S,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,101,Economics and Public Finance,S,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1010,Education,S,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
